product_id,sku,product_name,cate_report,sub_cate_report,cf_orders
4897525,1822568351962,Tai Nghe Nhét Tai JBL C150SI (Đen) - Hàng Chính Hãng,ITC,Electronic Accessories,404
4312981,9234672854284,"Chuột không dây Logitech M220 Silent giảm ồn - USB 2.4GHz, pin 18 tháng, thiết kế thuận 2 tay, phù hợp PC/ Laptop - Hàng chính hãng",ITC,Electronic Accessories,373
74500336,2586439753406,Camera IP Wifi TP-Link Tapo C200 Full HD 1080P Giám sát An Ninh - Hàng Chính Hãng,ITC,Camera,340
138226962,9975840955641,Giá đỡ điện thoại dán tường khi sạc MW5 kiêm khay đựng remote ( Màu ngẫu nhiên) Hàng chính hãng,ITC,Electronic Accessories,284
48652710,9719428679590,Camera IP Wifi Trong Nhà EZVIZ C6N 1080p - Hàng Chính Hãng,ITC,Camera,267
72796677,2489747574223,"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Có Thể Gấp Gọn, Giúp Tản Nhiệt Laptop, Macbook, Máy Tính Xách Tay. 07 Vị Trí Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko FS060",ITC,Electronic Accessories,261
10197365,1914986970402,"Chuột không dây Logitech M330 Silent Plus giảm ồn 90% - USB 2.4GHz, pin 2 năm, phù hợp người thuận tay phải, PC/ Laptop - Màu đen - Hàng chính hãng",ITC,Electronic Accessories,249
109393114,7288444064746,Tai nghe bluetooth nhét tai chống ồn cao cấp V5.0 chính hãng dùng cho iPhone Samsung OPPO VIVO HUAWEI XIAOMI tai nghe không dây - Hàng Chính Hãng PKCB,ITC,Electronic Accessories,240
143292818,5917201234391,"Giá đỡ điện thoại MAWA P7 để bàn tiện lợi làm bằng chất liệu nhựa cao cấp ,dễ dàng tháo lắp - Giao màu ngẫu nhiên - Hàng chính hãng",ITC,Electronic Accessories,238
89685,6706802071227,"Chuột không dây Logitech B175 - đầu thu USB 2.4Ghz, pin 1 năm, nhỏ gọn, thiết kế thuận cả 2 tay, phù hợp PC/ Laptop - Hàng chính hãng",ITC,Electronic Accessories,223
