product_id,sku,product_name,cate_report,sub_cate_report,cf_orders
924433,7021167462770,Vỉ Nướng Điện Lock&amp;Lock EJG221 (1300W),Home Appliances,Small Appliances,49
57790307,9657143400771,"Máy xay thịt, cá, xay đa năng Bcook 2 lưỡi dao kép cối thủy tinh (350W) - Hàng chính hãng",Home Appliances,Small Appliances,49
58065263,6304897532472,Bộ Lọc Thay Thế Pureit - Hàng chính hãng,Home Appliances,Small Appliances,48
49280801,6293312511959,Nồi Cơm Điện Nắp Gài Comet CM8005 0.8L - 350W - Màu Ngẫu Nhiên - Hàng Chính Hãng,Home Appliances,Small Appliances,48
3577987,5156564620194,Quạt Đứng Toshiba F- LSA20(W)VN (60W) - Trắng - Hàng chính hãng,Home Appliances,Small Appliances,48
24411504,4004159581782,Bàn Ủi Hơi Nước Sunhouse SHD2063P (1600W) – Hàng Chính Hãng,Home Appliances,Small Appliances,47
25683270,1919064016478,Nồi Chiên Không Dầu Sunhouse SHD4023W (3.0 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,47
93720726,2220268098806,Bàn là bàn ủi hơi nước cầm tay SOKANY AJ-2205 công suất 1200W hàng chính hãng,Home Appliances,Small Appliances,47
31252906,6937646340389,Ấm Siêu Tốc Nagakawa NAG0308 (1.8 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,47
155581089,3015603461931,Máy Hút Bụi Cầm Tay Mini Không Dây 120W M01,Home Appliances,Small Appliances,47
79856162,4740963470816,"Nồi chiên không dầu điện tử Tefal XXL EY701D15, Dung tích lòng nồi 6.3L / Giỏ Chiên 5.6L/1.6kg - Hàng chính hãng",Home Appliances,Small Appliances,47
81676556,5874818528600,Bàn Ủi Hơi Nước Philips STH3010/70 - Hàng Chính Hãng,Home Appliances,Small Appliances,47
102431932,9194504508598,Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1353 (1.8 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,47
186139743,6891604657747,Bàn ủi là hơi cầm tay Philips GC362 1300W - Hàng nhập khẩu,Home Appliances,Small Appliances,46
79549816,5005309182276,"Nồi chiên không dầu điện tử Tefal XL EY401D15, giỏ chiên 4.2L/1.2kg - Hàng chính hãng",Home Appliances,Small Appliances,46
911272,2047647550954,Nồi Áp Suất Điện Tử Đa Năng Kangaroo KG281 (900W) - Đỏ Đô - Hàng chính hãng,Home Appliances,Small Appliances,46
179716152,1730231429336,Nồi chiên không dầu LocknLock EJF173BLK 3.2L - Hàng chính hãng,Home Appliances,Small Appliances,46
794611,2345448758341,Máy Nướng Bánh Mì Lock&amp; Lock EJB221BLU (730 - 870 W) - Hàng chính hãng,Home Appliances,Small Appliances,46
162572128,2025753983971,Bàn Ủi Hơi Nước Cầm Tay Gấp Gọn,Home Appliances,Small Appliances,46
68436723,3668303031007,Nồi Chiên Không Dầu 2GOOD Vortex S-18 Air Fryer Oven (15 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,46
36392190,4961160683723,"Combo 3 lõi lọc nước Karofi 1,2,3 chính hãng",Home Appliances,Small Appliances,46
186317678,4283213477126,Ấm siếu tốc Philips HD9316 dung tích 1. 7 Lít  - Hàng nhập khẩu,Home Appliances,Small Appliances,45
190320520,9485029337582,Máy pha cà phê Espresso thương hiệu Delonghi ECP35.31 - Công suất1100W - Hàng Nhập Khẩu,Home Appliances,Small Appliances,45
186333783,4129644490360,Máy tạo độ ẩm Philips HU4813/00 công nghệ NanoCloud - Hàng nhập khẩu,Home Appliances,Small Appliances,45
79855876,1706565450449,Bàn ủi cầm tay Tefal DT6130E0 - Công suất 1300W - Phun hơi 20g/phút - Chức năng chống cặn - Hàng chính hãng,Home Appliances,Small Appliances,44
87107068,3370793512387,Máy lọc không khí SUNHOUSE SHD-15AP9715 - Hàng chính hãng,Home Appliances,Small Appliances,44
192155318,7797849689571,"Máy hút bụi mini cầm tay không dây, hút bụi ô tô có thiết nhỏ gọn, lực hút mạnh, pin 2000mAh",Home Appliances,Small Appliances,44
